list_place,A,B,C,mu_a-ea0,mu_b-ea0,mu_cea0,e,e_tot,zpe,harm_freq,formula,iupac_name,canonical_smi,internal_smi,weight,charge,name,multiplicity,distance,log_column,log_column_unc,mu_a,mu_b,mu_c
1363,34348.67704,4184.40988,3921.88164,-0.0004171,0.0242508,-0.1796656,-155.921372146214,,,[],C4H6,,CC=C=C,C=C=CC,54.09,0,geom1364,1,0.04639984,12.20250217454850,1.10103713722794,-0.00106016244508749,0.061639384855736500,-0.4566644013284850
187,17106.86789,2229.81988,2156.01767,0.0172718,-0.1064641,-0.0124508,-195.225480841837,,,[],C5H8,,CC=C=CC,CC=C=CC,68.12,0,geom188,1,0.04265474,12.102025003319700,1.1028186886143300,0.04390053636792640,-0.2706047484297270,-0.03164677672331650
633,5430.03154,3421.30075,2437.37602,-0.0079928,0.1571539,-0.1483717,-233.258577690514,,,[],C6H8,3-ethenyl-3-methylcyclopropene,CC1(C=C1)C=C,C=CC1(C)C=C1,80.13,0,geom634,1,0.07604943,12.076811572828500,1.1179035832505000,-0.02031567104074630,0.3994453677272470,-0.3771232420373710
1525,2700.35378,2697.91791,1527.11991,-0.0001087,5.56E-05,-3.39E-05,-309.484827481288,,,[],C8H8,cyclooctatetraene,C1=CC=CC=CC=C1,C1=CC=CC=CC=C1,104.15,0,geom1527,1,0.07407467,12.091283175441400,1.1203547794621300,-0.00027628783932153,0.00014132110272564,-8.616520471941E-05
219,17224.77349,1441.9407,1331.96512,1.15E-05,0.0633278,-2.24E-05,-232.05831214028,,,[],C6H6,"hexa-1,5-dien-3-yne",C=CC#CC=C,C=CC#CC=C,78.11,0,geom220,1,0.059237316,12.278398819712600,1.1220261774014200,2.923008419685E-05,0.16096321095663300,-5.693512052256E-05
1713,10535.022,2508.90759,2079.59585,2.88E-05,-8E-07,6.8E-06,-233.30480913073,,,[],C6H8,"1,3-dimethylidenecyclobutane",C=C1CC(=C)C1,C=C1CC(=C)C1,80.13,0,geom1715,1,0.054531682,11.979167072200600,1.1498577554771700,7.320229781472E-05,-2.03339716152E-06,1.728387587292E-05
1446,14201.72754,1326.98886,1294.88674,-0.3491507,-0.1487099,0.0993087,-251.800589671717,,,[],C5H11N,N-ethylprop-2-en-1-amine,CCNCC=C,C=CCNCC,85.15,0,geom1447,1,0.07921637,11.902789335235200,1.184458504320640,-0.8874525529034010,-0.37798286068740400,0.2524175358678020
1823,5158.00883,4901.5389,2592.51369,0.0028566,1.4E-06,-1.69E-05,-233.34695053713,,,[],C6H8,"cyclohexa-1,4-diene",C1C=CCC=C1,C1=CCC=CC1,80.13,0,geom1825,1,0.048224576,12.129529002481600,1.205265651285980,0.00726075291449754,3.55844503266E-06,-4.295551503711E-05
1231,5705.21343,5704.47546,2852.42221,0.0,2E-07,2E-07,-232.171959962332,,,[],C6H6,benzene,C1=CC=CC=C1,c1ccccc1,78.11,0,geom1232,1,0.060732447,12.348805121934500,1.2095417946128000,0.0,5.0834929038E-07,5.0834929038E-07
987,2217.29807,967.44939,729.95229,0.0553021,0.1793856,0.0220542,-388.153030967056,,,[],C10H12,1-methyl-2-prop-2-enylbenzene,CC1=CC=CC=C1CC=C,C=CCc1ccccc1C,132.2,0,geom988,1,0.064483926,11.889422904889700,1.2500367684371800,0.14056391645761900,0.45595271232195300,0.05605618459949300
1636,17689.4466,2275.49573,2235.96353,-0.0454341,0.010149,0.1840619,-195.224853518437,,,[],C5H8,,CCC=C=C,C=C=CCC,68.12,0,geom1638,1,0.047743544,12.112703495550700,1.269877790053930,-0.11548196247027000,0.0257961847403331,0.4678386812549730
827,13191.58553,898.75708,865.69369,0.0211423,0.0946342,-0.1025831,-271.356687109655,,,[],C7H8,"hepta-1,6-dien-3-yne",C=CCC#CC=C,C=CC#CCC=C,92.14,0,geom828,1,0.048776094,12.202553967367100,1.283387589107830,0.05373836601000540,0.24053614207839500,-0.26074023044990300
1886,4386.61976,2702.24827,2277.35626,0.4401311,2.25E-05,0.2784593,-537.210973704664,,,[],C5H9P,"1-methyl-2,5-dihydrophosphole",CP1CC=CC1,CP1CC=CC1,100.1,0,geom1888,1,0.048620116,12.219342565407900,1.2858046202113100,1.118701661795840,5.718929516775E-05,0.7077729377735580
1000,3163.65214,2381.36894,1379.49196,-3.1E-06,-7E-07,-0.0390356,-309.502215537332,,,[],C8H8,"5,6-dimethylidenecyclohexa-1,3-diene",C=C1C=CC=CC1=C,C=c1ccccc1=C,104.15,0,geom1001,1,0.06773596,11.985401282554800,1.2945861369169300,-7.87941400089E-06,-1.77922251633E-06,-0.09921859779778760
1109,24196.63608,622.02189,606.43236,-1E-07,1.02E-05,3.56E-05,-308.176357461359,,,[],C8H6,"octa-3,5-dien-1,7-diyne",C#CC=CC=CC#C,C#CC=CC=CC#C,102.13,0,geom1110,1,0.036918946,12.142649460686000,1.296831341248620,-2.5417464519E-07,2.592581380938E-05,9.048617368764E-05
609,11328.51582,4684.35552,3506.8444,0.5906868,-1.09E-05,0.0448033,-211.257184270816,,,[],C4H7N,3-methylideneazetidine,C=C1CNC1,C=C1CNC1,69.11,0,geom610,1,0.0679139,11.981375345742800,1.2978160573084000,1.5013760780841600,-2.770503632571E-05,0.11387862880841100
1365,42050.4752,4422.5064,4001.64767,-1.85E-05,-1E-05,0.0003367,-155.938170345457,,,[],C4H6,"buta-1,3-diene",C=CC=C,C=CC=C,54.09,0,geom1366,1,0.048230518,12.45191933256040,1.3043611691081800,-4.702230936015E-05,-2.5417464519E-05,0.00085580603035473
1237,7529.86719,3543.99986,2740.08704,0.0255631,0.0007521,-0.1382098,-196.476925423047,,,[],C5H10,3-methylbut-1-ene,CC(C)C=C,C=CC(C)C,70.13,0,geom1238,1,0.06683568,12.105094649732100,1.3048251101072900,0.06497491872456490,0.00191164750647399,-0.3512942687678090
999,7943.3725,1908.9071,1569.0426,5.18E-05,0.1702508,-0.2027432,-234.554404751363,,,[],C6H10,"2-methylpenta-1,3-diene",CC=CC(=C)C,C=C(C)C=CC,82.14,0,geom1000,1,0.06751323,11.895920435771000,1.3053309686416800,0.00013166246620842,0.43273436683313700,-0.5153218092468520
1753,9605.66172,2098.9036,1759.77791,0.0010612,1.0900652,0.2127522,-270.469092783949,,,[],C5H8O,pent-1-en-3-one,CCC(=O)C=C,C=CC(=O)CC,84.12,0,geom1755,1,0.036903936,12.078697130092400,1.307135692260920,0.00269730133475628,2.7706693544396600,0.5407621494839190
836,34496.11408,2119.17566,2021.79416,-0.0023232,-0.0483574,0.2396502,-193.991585752969,,,[],C5H6,pent-1-en-3-yne,CC#CC=C,C=CC#CC,66.1,0,geom837,1,0.05556885,12.380803191551600,1.3074613340733100,-0.00590498535705408,-0.12291224987310900,0.6091300455471250
758,5178.53778,1543.32534,1193.01626,0.0013035,0.0046275,-0.0623764,-309.546054546685,,,[],C8H8,styrene,C=CC1=CC=CC=C1,C=Cc1ccccc1,104.15,0,geom759,1,0.054787464,12.065565709537800,1.3089581152082600,0.00331316650005165,0.01176193170616730,-0.15854499338229500
954,47477.04668,2668.39878,2526.40478,9.5E-06,-0.8040825,-5.44E-05,-191.404994077571,,,[],C5H2,,C1=C=CC#C1,C1=CC#CC=1,62.07,0,geom955,1,0.054993074,12.187427562584000,1.308979137780270,2.414659129305E-05,-2.0437738414098800,-0.00013827100698336
652,15360.49642,1335.49966,1310.57321,-0.3771592,-0.2999976,0.4028259,-250.576901438772,,,[],C5H9N,"penta-1,4-dien-1-amine",C=CCC=CN,C=CCC=CN,83.13,0,geom653,1,0.07934775,11.922657605833700,1.309473934892460,-0.9586430584014420,-0.7625178353785150,1.0238813020584200
1257,7702.05662,7652.50332,4062.27822,0.4989627,-0.1881014,-0.0089218,-211.288466293814,,,[],C4H7N,"2,5-dihydro-1H-pyrrole",C1C=CCN1,C1=CCNC1,69.11,0,geom1258,1,0.07778056,12.003288186952100,1.3095167469580100,1.2682366723554400,-0.4781060660474230,-0.02267695349456140
1360,19716.40582,2352.58675,2333.78982,-3E-07,-0.0530654,-3.3E-06,-195.235613308435,,,[],C5H8,"penta-1,4-diene",C=CCC=C,C=CCC=C,68.12,0,geom1361,1,0.072575495,12.200843088593100,1.3099474244896300,-7.6252393557E-07,-0.13487879216865400,-8.38776329127E-06
1252,8057.15722,3238.94911,2378.27983,-4.25E-05,-0.2034971,0.2252524,-233.349142269525,,,[],C6H8,"1-methylcyclopenta-1,3-diene",CC1=CC=CC1,CC1=CC=CC1,80.13,0,geom1253,1,0.076895095,12.129736669172600,1.3102485431881400,-0.00010802422420575,-0.5172380318969390,0.5725344884819600
1134,5514.88155,5098.01343,2706.72061,0.1942309,-9.2E-06,0.5259532,-249.381846869515,,,[],C5H7N,"1,4-dihydropyridine",C1C=CNC=C1,C1=CNC=CC1,81.12,0,geom1135,1,0.048371352,11.998816016330100,1.3109333599629800,0.4936857009243440,-2.338406735748E-05,1.3368396799654500
1196,7076.54942,1945.70314,1540.71621,0.0001177,-0.0132724,0.5410684,-271.421620114101,,,[],C7H8,"5-ethylidenecyclopenta-1,3-diene",CC=C1C=CC=C1,CC=C1C=CC=C1,92.14,0,geom1197,1,0.053404488,12.170895280104000,1.310940817582250,0.00029916355738863,-0.03373507560819760,1.3752586859352100
423,12925.60644,1334.91969,1307.12283,0.0012787,-0.0047643,-0.1972711,-234.528738141932,,,[],C6H10,,CCCC=C=C,C=C=CCCC,82.14,0,geom424,1,0.04130635,12.057539254686200,1.3114571748345300,0.00325013118804453,-0.01210964262078720,-0.5014131184874100
1058,25985.89558,1513.2336,1486.83538,0.2507512,-0.4318033,-0.7950611,-281.391047787041,,,[],C3H5N3,3-azidoprop-1-ene,C=CCN=[N+]=[N-],C=CCN=[N+]=[N-],83.09,0,geom1059,1,0.052821815,11.884981767968200,1.311511090170730,0.6373459729096670,-1.0975345056937100,-2.020843729968710
692,25402.43546,4242.85279,4120.87541,-0.3848983,-0.3959887,-0.0956155,-173.197992002373,,,[],C3H7N,prop-2-en-1-amine,C=CCN,C=CCN,57.09,0,geom693,1,0.050626945,12.073321538225600,1.3115334751292300,-0.9783138883673420,-1.0065028732174900,-0.24303035787164400
1856,17046.68523,12870.44203,7333.53748,3.1E-06,1.8E-06,3E-07,-154.626359694458,,,[],C4H4,cyclobutadiene,C1=CC=C1,C1=CC=C1,52.07,0,geom1858,1,0.066782966,12.447843037804200,1.3116231337878500,7.87941400089E-06,4.57514361342E-06,7.6252393557E-07
1948,23435.85789,6293.46552,4961.18807,0.00041,0.9010953,1.1225019,-188.013078643672,,,[],C2H4N2,"ethane-1,2-diimine",C(=N)C=N,N=CC=N,56.07,0,geom1950,1,0.08715314,12.698841640110700,1.3122977806372500,0.001042116045279,2.290355781598770,2.8531152215760100
750,4216.46534,1578.88627,1165.34757,-0.0023711,-5.77E-05,-0.7357926,-310.727934556668,,,[],C8H10,"5-propan-2-ylidenecyclopenta-1,3-diene",CC(=C1C=CC=C1)C,CC(C)=C1C=CC=C1,106.16,0,geom751,1,0.053783566,12.031621283741800,1.31252375163595,-0.00602673501210009,-0.00014665877027463,-1.870198230384280
1784,18727.35605,2105.34583,2048.57097,-0.4528968,0.3454203,-0.0468705,-212.505964983201,,,[],C4H9N,but-2-en-1-amine,CC=CCN,CC=CCN,71.12,0,geom1786,1,0.057134863,11.98049527316940,1.3130225742750800,-1.151148834476860,0.8779708219392340,-0.11913292707377900
414,4080.51962,2140.50446,1674.84502,4.4E-06,0.0684614,-2.1E-06,-272.601511468324,,,[],C7H10,"1,1-bis(ethenyl)cyclopropane",C=CC1(CC1)C=C,C=CC1(C=C)CC1,94.15,0,geom415,1,0.038212977,12.194815357401600,1.3130348843051500,1.118368438836E-05,0.17401152054210700,-5.33766754899E-06
