SMILES,SELFIES,COLUMN DENSITY,STD,anchor,distance,gpr_column,uncertainty
C[S+],[C][S+1],12.696966222669015,1.314265757169966,CC#CC#C,0.060968533,[12.69696622],[1.31426576]
N[NH3+],[N][NH3+1],12.572738938941475,1.3396610425360902,CC#CC#C,0.061001588,[12.57273894],[1.33966104]
C[CH]O,[C][CH1][O],12.51130429695004,1.3535076643982678,CC#CC#C,0.061325092,[12.5113043],[1.35350766]
Cc1cscc1O,[C][C][=C][S][C][=C][Ring1][Branch1][O],11.911993834486928,1.4212452627085397,CC#CC#C,0.06181858,[11.91199383],[1.42124526]
C#CC(C#C)C=O,[C][#C][C][Branch1][Ring1][C][#C][C][=O],12.173522326299983,1.4103113016680948,CC#CC#C,0.062216956,[12.17352233],[1.4103113]
CC#CCC#CC=O,[C][C][#C][C][C][#C][C][=O],12.038257570516661,1.4114352398650392,CC#CC#C,0.0622717,[12.03825757],[1.41143524]
NC/C=C/CN,[N][C][/C][=C][/C][N],11.70225218793078,1.4304930221594268,CC#CC#C,0.062365003,[11.70225219],[1.43049302]
O=C1CNC1,[O][=C][C][N][C][Ring1][Ring2],11.814248588740154,1.397048802902295,CC#CC#C,0.062761255,[11.81424859],[1.3970488]
C/C=C/CN,[C][/C][=C][/C][N],11.748522903701195,1.412413936728737,CC#CC#C,0.0627662,[11.7485229],[1.41241394]
N=C1CCO1,[N][=C][C][C][O][Ring1][Ring2],11.827682382176917,1.4001428864760257,CC#CC#C,0.06279322,[11.82768238],[1.40014289]
[N]=N,[NH0][=N],12.835727432027635,1.3438780995802304,CC#CC#C,0.06285285,[12.83572743],[1.3438781]
C=C[C@H](N)c1ccccc1,[C][=C][C@H1][Branch1][C][N][C][=C][C][=C][C][=C][Ring1][=Branch1],11.950595088980567,1.4343884910237201,CC#CC#C,0.062862895,[11.95059509],[1.43438849]
O=CC=CO,[O][=C][C][=C][O],11.93299338950871,1.4005967004899915,CC#CC#C,0.06287459,[11.93299339],[1.4005967]
N#CC1C=CCC1,[N][#C][C][C][=C][C][C][Ring1][Branch1],11.868450495635853,1.4161895678467362,CC#CC#C,0.063010074,[11.8684505],[1.41618957]
C1=CCCSC=C1,[C][=C][C][C][S][C][=C][Ring1][#Branch1],11.960017271404844,1.4239742393022916,CC#CC#C,0.06306971,[11.96001727],[1.42397424]
C=CCC#N,[C][=C][C][C][#N],11.995995516309419,1.352481401502999,CC#CC#C,0.06319189,[11.99599552],[1.3524814]
CC#CC#CCCC,[C][C][#C][C][#C][C][C][C],12.075509797125475,1.4223508664070057,CC#CC#C,0.063193515,[12.0755098],[1.42235087]
C=CC=CC#CC#CC#CC#CC,[C][=C][C][=C][C][#C][C][#C][C][#C][C][#C][C],12.0173410459478,1.4507970125117815,CC#CC#C,0.06423896,[12.01734105],[1.45079701]
N#CCc1cccc2ccccc12,[N][#C][C][C][=C][C][=C][C][=C][C][=C][C][=C][Ring1][#Branch2][Ring1][=Branch1],12.051410577034064,1.4698520993704642,CC#CC#C,0.06442242,[12.05141058],[1.4698521]
Cc1ccc2c(c1C)CC=C2,[C][C][=C][C][=C][C][=Branch1][Branch1][=C][Ring1][=Branch1][C][C][C][=C][Ring1][#Branch1],12.134371207691244,1.4486266381981872,CC#CC#C,0.064448014,[12.13437121],[1.44862664]
CCSC,[C][C][S][C],11.999071673856415,1.3808564942164137,CC#CC#C,0.064657584,[11.99907167],[1.38085649]
C[SiH2]c1ccccc1,[C][SiH2][C][=C][C][=C][C][=C][Ring1][=Branch1],11.815969874347081,1.4151286017679248,CC#CC#CC#N,0.00731686,[11.81596987],[1.4151286]
[CH+]C,[CH1+1][C],12.691231888412156,1.3291649648434214,CC#CC#CC#N,0.010577508,[12.69123189],[1.32916496]
O/N=C\C=N\O,[O][/N][=C][\C][=N][\O],12.140906070124231,1.4223062374930744,CC#CC#CC#N,0.038185403,[12.14090607],[1.42230624]
CC=CCC,[C][C][=C][C][C],11.786213794314152,1.3941852616580903,CC#CC#CC#N,0.03821575,[11.78621379],[1.39418526]
C[C@H]1CN1CO,[C][C@H1][C][N][Ring1][Ring1][C][O],12.078147341392555,1.4100161603999546,CC#CC#CC#N,0.0384815,[12.07814734],[1.41001616]
N#C[C]=[C+]C#N,[N][#C][CH0][=C+1][C][#N],12.525398568108914,1.3767240773894427,CC#CC#CC#N,0.03909101,[12.52539857],[1.37672408]
COC(=O)O,[C][O][C][=Branch1][C][=O][O],11.844750965999868,1.4304695156661433,CC#CC#CC#N,0.039167743,[11.84475097],[1.43046952]
CC(C)[NH3+],[C][C][Branch1][C][C][NH3+1],11.991353583013217,1.4187244883833703,CC#CC#CC#N,0.03956186,[11.99135358],[1.41872449]
CPC,[C][P][C],12.092642592912057,1.3476098477627354,CC#CC#CC#N,0.040177714,[12.09264259],[1.34760985]
[CH],[CH1],13.529193233983792,1.0731223310465385,CC#CC#CC#N,0.040947344,[13.52919323],[1.07312233]
N#CC#CCC#CC=O,[N][#C][C][#C][C][C][#C][C][=O],11.935911230116808,1.404360473112195,CC#CC#CC#N,0.042277496,[11.93591123],[1.40436047]
CC(=N)O,[C][C][=Branch1][C][=N][O],11.914499641843285,1.4193793064919054,CC#CC#CC#N,0.04263843,[11.91449964],[1.41937931]
CC=C=CC,[C][C][=C][=C][C],11.749820316232821,1.3765683659999983,CC#CC#CC#N,0.04265474,[11.74982032],[1.37656837]
CC=NCC,[C][C][=N][C][C],11.916816973795932,1.401256143702267,CC#CC#CC#N,0.04482157,[11.91681697],[1.40125614]
N#CC#CC#CCC=O,[N][#C][C][#C][C][#C][C][C][=O],11.927187519869287,1.4038483808652884,CC#CC#CC#N,0.04512344,[11.92718752],[1.40384838]
CSC#N,[C][S][C][#N],12.309317587977397,1.3576520358918278,CC#CC#CC#N,0.045534715,[12.30931759],[1.35765204]
C#CC#CCNCC#N,[C][#C][C][#C][C][N][C][C][#N],12.065619108631964,1.4083497210456954,CC#CC#CC#N,0.046919454,[12.06561911],[1.40834972]
CC[C@@H]1CO1,[C][C][C@@H1][C][O][Ring1][Ring1],12.131287848726535,1.4213133011556616,CC#CC#CC#N,0.047107052,[12.13128785],[1.4213133]
N#CNC#N,[N][#C][N][C][#N],12.030932085106306,1.3825985703023829,CC#CC#CC#N,0.04776667,[12.03093209],[1.38259857]
CC#CC1C=CN=C1O,[C][C][#C][C][C][=C][N][=C][Ring1][Branch1][O],11.912199843588526,1.4351997386293645,CC#CC#CC#N,0.048530404,[11.91219984],[1.43519974]
[O-]O,[O-1][O],12.4290223055963,1.3475399776481092,CC#CC#CC#N,0.04875087,[12.42902231],[1.34753998]
O=S,[O][=S],12.593391123428303,1.3330341265291061,CC#CC#CC#N,0.048876274,[12.59339112],[1.33303413]
CC(/C=N\O)=N/O,[C][C][Branch1][Ring2][/C][=N][\O][=N][/O],11.962623307179364,1.419001017236509,CC#CC#CC#N,0.049643986,[11.96262331],[1.41900102]
C=C(C)CO,[C][=C][Branch1][C][C][C][O],11.85963280717145,1.4170983260201844,CC#CC#CC#N,0.05029927,[11.85963281],[1.41709833]
CC(C)=[O+],[C][C][Branch1][C][C][=O+1],11.993840625664596,1.4173899630847104,CC#CC#CC#N,0.05096694,[11.99384063],[1.41738996]
CC=CCC=O,[C][C][=C][C][C][=O],11.756248383769446,1.4148757735456234,CC#CC#CC#N,0.051226,[11.75624838],[1.41487577]
C=C(O)CC,[C][=C][Branch1][C][O][C][C],11.857735546938711,1.4185689291433707,CC#CC#CC#N,0.05137007,[11.85773555],[1.41856893]
CCCSC,[C][C][C][S][C],11.959989819889994,1.4110101281359528,CC#CC#CC#N,0.05216083,[11.95998982],[1.41101013]
CC=[N+]=[N-],[C][C][=N+1][=N-1],12.294817575457113,1.3565435820803582,CC#CC#CC#N,0.05220497,[12.29481758],[1.35654358]
C#CC#CSCC,[C][#C][C][#C][S][C][C],12.142649460685988,1.3777538686831052,CC#CC#CC#N,0.05335745,[12.14264946],[1.37775387]
C=CCC#CC,[C][=C][C][C][#C][C],11.87953810795319,1.3763179885316499,CC#CC#CC#N,0.0537049,[11.87953811],[1.37631799]
CC(C)=CCO,[C][C][Branch1][C][C][=C][C][O],11.853028781116,1.4316480073673012,CC#CC#CC#N,0.054081973,[11.85302878],[1.43164801]
N=CCS,[N][=C][C][S],12.063685716897494,1.364120356340847,CC#CC#CC#N,0.05511793,[12.06368572],[1.36412036]
c1ccc2c(c1)CCCN2,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][C][C][C][N][Ring1][#Branch1],12.138712759727778,1.4418122352767815,CC#CC#CC#N,0.05548131,[12.13871276],[1.44181224]
C1CCNC1,[C][C][C][N][C][Ring1][Branch1],11.900050992206133,1.4166111076088073,CC#CC#CC#N,0.05665551,[11.90005099],[1.41661111]
SCc1ccco1,[S][C][C][=C][C][=C][O][Ring1][Branch1],11.909168750607684,1.4248315275809391,CC#CC#CC#N,0.056851525,[11.90916875],[1.42483153]
O=C([O-])O,[O][=C][Branch1][C][O-1][O],11.89659938428484,1.4149631588025067,CC#CC#CC#N,0.05710235,[11.89659938],[1.41496316]
C#CC#CC#CCC=O,[C][#C][C][#C][C][#C][C][C][=O],12.021769040847278,1.39942066125165,CC#CC#CC#N,0.05731096,[12.02176904],[1.39942066]
C#C[C+]=C=[N],[C][#C][C+1][=C][=NH0],12.165411673021262,1.375413912286991,CC#CC#CC#N,0.057561718,[12.16541167],[1.37541391]
CC/C=C\CO,[C][C][/C][=C][\C][O],11.780369167014971,1.4017970813272769,CC#CC#CC#N,0.057661075,[11.78036917],[1.40179708]
C#C[c-]1cccc1,[C][#C][C-1][C][=C][C][=C][Ring1][Branch1],11.878228644434849,1.4048981333195207,CC#CC#CC#N,0.057677392,[11.87822864],[1.40489813]
[C]#CC#CC#[C+],[CH0][#C][C][#C][C][#C+1],11.98346861189126,1.3783159794767628,CC#CC#CC#N,0.057695456,[11.98346861],[1.37831598]
C=CC#CC#CC#CC#CC#CC,[C][=C][C][#C][C][#C][C][#C][C][#C][C][#C][C],12.100206678570022,1.4412390281889358,CC#CC#CC#N,0.057699542,[12.10020668],[1.44123903]
C=CC(C=O)=CC,[C][=C][C][Branch1][Ring1][C][=O][=C][C],11.866981392906787,1.4203764595904864,CC#CC#CC#N,0.05778666,[11.86698139],[1.42037646]
C=CC#CC=C,[C][=C][C][#C][C][=C],11.86911305101868,1.371902682690287,CC#CC#CC#N,0.059237316,[11.86911305],[1.37190268]
CC(C)=N,[C][C][Branch1][C][C][=N],11.997268316438381,1.4178263502369683,CC#CC#CC#N,0.059399784,[11.99726832],[1.41782635]
C=C[C@H](N)CC,[C][=C][C@H1][Branch1][C][N][C][C],11.818794129935197,1.4131377494552884,CC#CC#CC#N,0.05959992,[11.81879413],[1.41313775]
CC/C=C/N,[C][C][/C][=C][/N],11.848878833474528,1.3959849785031715,CC#CC#CC#N,0.05973641,[11.84887883],[1.39598498]
S=C1C=CCC1,[S][=C][C][=C][C][C][Ring1][Branch1],11.905297077881725,1.418963827948725,CC#CC#CC#N,0.060233027,[11.90529708],[1.41896383]
C=C/C=C/CC,[C][=C][/C][=C][/C][C],11.703740200357927,1.411825278309753,CC#CC#CC#N,0.0605152,[11.7037402],[1.41182528]
CCc1cscc1C#N,[C][C][C][=C][S][C][=C][Ring1][Branch1][C][#N],11.959713636560021,1.4348490854612255,CC#CC#CC#N,0.06067792,[11.95971364],[1.43484909]
COC#N,[C][O][C][#N],12.117689057049558,1.3465435677149233,CC#CC#CC#N,0.06067794,[12.11768906],[1.34654357]
N#C[C@@H]1CO1,[N][#C][C@@H1][C][O][Ring1][Ring1],12.209968888486326,1.4078337424369864,CC#CC#CC#N,0.06072775,[12.20996889],[1.40783374]
O=O,[O][=O],12.690275203588508,1.319796909622206,CC#CC#CC#N,0.06095417,[12.6902752],[1.31979691]
c1ccc2c(c1)OCS2,[C][=C][C][=C][C][=Branch1][Ring2][=C][Ring1][=Branch1][O][C][S][Ring1][=Branch1],12.162277438444093,1.445327255128601,CC#CC#CC#N,0.061252385,[12.16227744],[1.44532726]
COC=[O+]C,[C][O][C][=O+1][C],11.956026204831048,1.3936275738444088,CC#CC#CC#N,0.061298024,[11.9560262],[1.39362757]
C=C1C=CCC1,[C][=C][C][=C][C][C][Ring1][Branch1],11.803586556072728,1.4042876036318763,CC#CC#CC#N,0.061319206,[11.80358656],[1.4042876]
CC=NO,[C][C][=N][O],12.128119995406635,1.368633927432011,CC#CC#CC#N,0.061329626,[12.12812],[1.36863393]
C1=CSC=CC1,[C][=C][S][C][=C][C][Ring1][=Branch1],11.918337026796795,1.4156086456503627,CC#CC#CC#N,0.06134997,[11.91833703],[1.41560865]
C#CC#CC#C[C+]=C=[N-],[C][#C][C][#C][C][#C][C+1][=C][=N-1],11.789843028802808,1.392284445085604,CC#CC#CC#N,0.061538834,[11.78984303],[1.39228445]
C#CCCN,[C][#C][C][C][N],11.983675189715983,1.3613169286336508,CC#CC#CC#N,0.061684217,[11.98367519],[1.36131693]
C#C[O],[C][#C][OH0],12.603346941005132,1.3351894838918492,CC#CC#CC#N,0.06172174,[12.60334694],[1.33518948]
CCC#C/C=C\CO,[C][C][C][#C][/C][=C][\C][O],11.8037696285193,1.4011324095251645,CC#CC#CC#N,0.061939955,[11.80376963],[1.40113241]
[S+],[S+1],12.918233162431182,1.3130225742750796,CC#CC#CC#N,0.06218378,[12.91823316],[1.31302257]
C[NH],[C][NH1],12.774136642641814,1.3146558501173602,CC#CC#CC#N,0.06234245,[12.77413664],[1.31465585]
CO/N=C/CC#N,[C][O][/N][=C][/C][C][#N],11.864463263342985,1.4095552674431246,CC#CC#CC#N,0.06235395,[11.86446326],[1.40955527]
C=C[O],[C][=C][OH0],12.618912317574901,1.3295417088453803,CC#CC#CC#N,0.0625884,[12.61891232],[1.32954171]
N#CC1=CCC=C1,[N][#C][C][=C][C][C][=C][Ring1][Branch1],11.830014782505202,1.4133840725950175,CC#CC#CC#N,0.062717535,[11.83001478],[1.41338407]
[C-]#[N+][N+]#[C-],[C-1][#N+1][N+1][#C-1],12.013218552633226,1.3853357125332464,CC#CC#CC#N,0.06286864,[12.01321855],[1.38533571]
